"03024: Eksport av oppalen laks, etter varegruppe, uke og statistikkvariabel"

"varegruppe";"uke";"Vekt (tonn)";"Kilopris (kr)"
"Fersk oppalen laks";"2010U33";11048;41.31
"Fersk oppalen laks";"2010U34";12120;39.58
"Fersk oppalen laks";"2010U35";12697;37.62
"Fersk oppalen laks";"2010U36";13132;37.07
"Fersk oppalen laks";"2010U37";12597;36.76
"Fersk oppalen laks";"2010U38";13516;37.86
"Fersk oppalen laks";"2010U39";13536;37.20
"Fersk oppalen laks";"2010U40";13279;36.15
"Fersk oppalen laks";"2010U41";13935;37.84
"Fersk oppalen laks";"2010U42";13539;37.31
"Fersk oppalen laks";"2010U43";14335;36.11
"Fersk oppalen laks";"2010U44";13748;36.06
"Fersk oppalen laks";"2010U45";13988;35.76
"Fersk oppalen laks";"2010U46";14497;36.30
"Fersk oppalen laks";"2010U47";15255;36.05
"Fersk oppalen laks";"2010U48";15346;38.42
"Fersk oppalen laks";"2010U49";17626;43.13
"Fersk oppalen laks";"2010U50";17716;43.46
"Fersk oppalen laks";"2010U51";10713;43.24
"Fersk oppalen laks";"2010U52";7752;40.37
"Fersk oppalen laks";"2011U01";9309;38.43
"Fersk oppalen laks";"2011U02";11133;39.96
"Fersk oppalen laks";"2011U03";11853;40.44
"Fersk oppalen laks";"2011U04";11570;38.82
"Fersk oppalen laks";"2011U05";10320;39.98
"Fersk oppalen laks";"2011U06";10817;39.71
"Fersk oppalen laks";"2011U07";10982;40.81
"Fersk oppalen laks";"2011U08";10585;41.61
"Fersk oppalen laks";"2011U09";10941;40.89
"Fersk oppalen laks";"2011U10";12801;40.56
"Fersk oppalen laks";"2011U11";12165;40.44
"Fersk oppalen laks";"2011U12";11899;40.79
"Fersk oppalen laks";"2011U13";10941;40.94
"Fersk oppalen laks";"2011U14";12729;42.20
"Fersk oppalen laks";"2011U15";13763;43.61
"Fersk oppalen laks";"2011U16";8130;43.08
"Fersk oppalen laks";"2011U17";9888;42.71
"Fersk oppalen laks";"2011U18";11889;42.21
"Fersk oppalen laks";"2011U19";13036;40.05
"Fersk oppalen laks";"2011U20";10413;38.75
"Fersk oppalen laks";"2011U21";12609;36.67
"Fersk oppalen laks";"2011U22";10992;36.08
"Fersk oppalen laks";"2011U23";13201;34.11
"Fersk oppalen laks";"2011U24";11833;33.37
"Fersk oppalen laks";"2011U25";13159;31.61
"Fersk oppalen laks";"2011U26";12880;28.54
"Fersk oppalen laks";"2011U27";12160;31.20
"Fersk oppalen laks";"2011U28";13277;33.21
"Fersk oppalen laks";"2011U29";12758;30.11
"Fersk oppalen laks";"2011U30";10897;30.62
"Fersk oppalen laks";"2011U31";11197;29.35
"Fersk oppalen laks";"2011U32";12169;29.59
"Fersk oppalen laks";"2011U33";12639;28.91
"Fersk oppalen laks";"2011U34";13788;26.55
"Fersk oppalen laks";"2011U35";13819;27.27
"Fersk oppalen laks";"2011U36";14804;27.47
"Fersk oppalen laks";"2011U37";14613;25.97
"Fersk oppalen laks";"2011U38";14992;26.59
"Fersk oppalen laks";"2011U39";16079;25.23
"Fersk oppalen laks";"2011U40";16648;24.55
"Fersk oppalen laks";"2011U41";16376;24.20
"Fersk oppalen laks";"2011U42";16207;23.01
"Fersk oppalen laks";"2011U43";15906;21.63
"Fersk oppalen laks";"2011U44";15301;24.18
"Fersk oppalen laks";"2011U45";16194;25.23
"Fersk oppalen laks";"2011U46";17327;24.16
"Fersk oppalen laks";"2011U47";18890;26.15
"Fersk oppalen laks";"2011U48";18710;26.06
"Fersk oppalen laks";"2011U49";19953;25.90
"Fersk oppalen laks";"2011U50";22369;28.49
"Fersk oppalen laks";"2011U51";16499;26.90
"Fersk oppalen laks";"2011U52";9721;26.40
"Fersk oppalen laks";"2012U01";11785;25.65
"Fersk oppalen laks";"2012U02";12528;24.95
"Fersk oppalen laks";"2012U03";13994;26.71
"Fersk oppalen laks";"2012U04";12990;25.26
"Fersk oppalen laks";"2012U05";13226;25.31
"Fersk oppalen laks";"2012U06";12883;27.51
"Fersk oppalen laks";"2012U07";13613;28.49
"Fersk oppalen laks";"2012U08";14382;29.84
"Fersk oppalen laks";"2012U09";15829;28.77
"Fersk oppalen laks";"2012U10";15525;28.64
"Fersk oppalen laks";"2012U11";16395;29.07
"Fersk oppalen laks";"2012U12";17175;28.27
"Fersk oppalen laks";"2012U13";18334;26.64
"Fersk oppalen laks";"2012U14";9286;29.61
"Fersk oppalen laks";"2012U15";15530;29.34
"Fersk oppalen laks";"2012U16";16510;28.70
"Fersk oppalen laks";"2012U17";15370;29.11
"Fersk oppalen laks";"2012U18";13019;29.11
"Fersk oppalen laks";"2012U19";16526;29.06
"Fersk oppalen laks";"2012U20";14425;31.27
"Fersk oppalen laks";"2012U21";16542;29.51
"Fersk oppalen laks";"2012U22";15328;28.30
"Fersk oppalen laks";"2012U23";16993;26.42
"Fersk oppalen laks";"2012U24";17607;25.92
"Fersk oppalen laks";"2012U25";16734;27.59
"Fersk oppalen laks";"2012U26";15826;26.90
"Fersk oppalen laks";"2012U27";16555;27.70
"Fersk oppalen laks";"2012U28";16064;26.90
"Fersk oppalen laks";"2012U29";14412;26.40
"Fersk oppalen laks";"2012U30";14355;26.56
"Fersk oppalen laks";"2012U31";15238;27.17
"Fersk oppalen laks";"2012U32";15064;28.31
"Fersk oppalen laks";"2012U33";15317;27.36
"Fersk oppalen laks";"2012U34";15533;27.67
"Fersk oppalen laks";"2012U35";16542;29.10
"Fersk oppalen laks";"2012U36";16474;28.60
"Fersk oppalen laks";"2012U37";17354;26.92
"Fersk oppalen laks";"2012U38";18359;26.02
"Fersk oppalen laks";"2012U39";18459;23.99
"Fersk oppalen laks";"2012U40";17312;24.28
"Fersk oppalen laks";"2012U41";17499;26.66
"Fersk oppalen laks";"2012U42";18298;26.24
"Fersk oppalen laks";"2012U43";17301;25.10
"Fersk oppalen laks";"2012U44";17795;27.02
"Fersk oppalen laks";"2012U45";17867;26.59
"Fersk oppalen laks";"2012U46";18453;27.73
"Fersk oppalen laks";"2012U47";19372;26.63
"Fersk oppalen laks";"2012U48";19394;27.15
"Fersk oppalen laks";"2012U49";21897;29.16
"Fersk oppalen laks";"2012U50";23674;30.78
"Fersk oppalen laks";"2012U51";23219;29.56
"Fersk oppalen laks";"2012U52";7356;33.11
"Fersk oppalen laks";"2013U01";10364;33.57
"Fersk oppalen laks";"2013U02";15684;33.35
"Fersk oppalen laks";"2013U03";15135;34.76
"Fersk oppalen laks";"2013U04";14010;36.51
"Fersk oppalen laks";"2013U05";13732;35.27
"Fersk oppalen laks";"2013U06";13631;34.84
"Fersk oppalen laks";"2013U07";14332;36.13
"Fersk oppalen laks";"2013U08";13163;37.03
"Fersk oppalen laks";"2013U09";13550;38.97
"Fersk oppalen laks";"2013U10";14576;38.90
"Fersk oppalen laks";"2013U11";15892;37.70
"Fersk oppalen laks";"2013U12";18376;36.02
"Fersk oppalen laks";"2013U13";10986;37.93
"Fersk oppalen laks";"2013U14";11291;39.85
"Fersk oppalen laks";"2013U15";13550;42.27
"Fersk oppalen laks";"2013U16";13438;43.23
"Fersk oppalen laks";"2013U17";14289;42.00
"Fersk oppalen laks";"2013U18";13265;42.41
"Fersk oppalen laks";"2013U19";14217;42.31
"Fersk oppalen laks";"2013U20";14132;43.51
"Fersk oppalen laks";"2013U21";14456;43.81
"Fersk oppalen laks";"2013U22";15171;40.77
"Fersk oppalen laks";"2013U23";14847;40.22
"Fersk oppalen laks";"2013U24";14940;39.22
"Fersk oppalen laks";"2013U25";13330;41.19
"Fersk oppalen laks";"2013U26";13309;43.40
"Fersk oppalen laks";"2013U27";14217;45.15
"Fersk oppalen laks";"2013U28";14102;44.26
"Fersk oppalen laks";"2013U29";14098;45.12
"Fersk oppalen laks";"2013U30";13509;43.01
"Fersk oppalen laks";"2013U31";12572;40.14
"Fersk oppalen laks";"2013U32";13734;39.92
"Fersk oppalen laks";"2013U33";13675;43.43
"Fersk oppalen laks";"2013U34";15530;42.03
"Fersk oppalen laks";"2013U35";16403;38.16
"Fersk oppalen laks";"2013U36";16791;37.31
"Fersk oppalen laks";"2013U37";18020;33.73
"Fersk oppalen laks";"2013U38";18859;30.04
"Fersk oppalen laks";"2013U39";18487;32.82
"Fersk oppalen laks";"2013U40";18727;35.87
"Fersk oppalen laks";"2013U41";18442;35.68
"Fersk oppalen laks";"2013U42";18051;38.32
"Fersk oppalen laks";"2013U43";18068;38.74
"Fersk oppalen laks";"2013U44";18734;39.70
"Fersk oppalen laks";"2013U45";17751;38.50
"Fersk oppalen laks";"2013U46";18020;36.98
"Fersk oppalen laks";"2013U47";17907;39.94
"Fersk oppalen laks";"2013U48";18384;40.17
"Fersk oppalen laks";"2013U49";21121;45.65
"Fersk oppalen laks";"2013U50";23617;48.61
"Fersk oppalen laks";"2013U51";22644;48.52
"Fersk oppalen laks";"2013U52";7100;50.58
"Fersk oppalen laks";"2014U01";9341;50.34
"Fersk oppalen laks";"2014U02";15118;48.75
"Fersk oppalen laks";"2014U03";14505;49.27
"Fersk oppalen laks";"2014U04";13699;49.72
"Fersk oppalen laks";"2014U05";13784;46.80
"Fersk oppalen laks";"2014U06";13053;45.62
"Fersk oppalen laks";"2014U07";13190;49.41
"Fersk oppalen laks";"2014U08";14324;48.76
"Fersk oppalen laks";"2014U09";15963;46.68
"Fersk oppalen laks";"2014U10";15949;44.13
"Fersk oppalen laks";"2014U11";15975;44.07
"Fersk oppalen laks";"2014U12";16449;43.63
"Fersk oppalen laks";"2014U13";16159;43.83
"Fersk oppalen laks";"2014U14";17313;44.01
"Fersk oppalen laks";"2014U15";19722;44.35
"Fersk oppalen laks";"2014U16";12057;47.40
"Fersk oppalen laks";"2014U17";14614;46.29
"Fersk oppalen laks";"2014U18";14590;44.62
"Fersk oppalen laks";"2014U19";15636;42.03
"Fersk oppalen laks";"2014U20";15695;40.28
"Fersk oppalen laks";"2014U21";16593;39.37
"Fersk oppalen laks";"2014U22";14444;38.83
"Fersk oppalen laks";"2014U23";16919;37.65
"Fersk oppalen laks";"2014U24";15355;37.51
"Fersk oppalen laks";"2014U25";17308;36.47
"Fersk oppalen laks";"2014U26";17145;33.60
"Fersk oppalen laks";"2014U27";15108;37.60
"Fersk oppalen laks";"2014U28";15256;41.66
"Fersk oppalen laks";"2014U29";14452;42.26
"Fersk oppalen laks";"2014U30";14297;42.23
"Fersk oppalen laks";"2014U31";15439;37.70
"Fersk oppalen laks";"2014U32";15634;37.48
"Fersk oppalen laks";"2014U33";15710;35.82
"Fersk oppalen laks";"2014U34";16726;34.95
"Fersk oppalen laks";"2014U35";16287;34.87
"Fersk oppalen laks";"2014U36";17045;35.71
"Fersk oppalen laks";"2014U37";17009;34.43
"Fersk oppalen laks";"2014U38";17405;34.05
"Fersk oppalen laks";"2014U39";17142;35.43
"Fersk oppalen laks";"2014U40";17134;35.59
"Fersk oppalen laks";"2014U41";17554;34.40
"Fersk oppalen laks";"2014U42";17925;34.44
"Fersk oppalen laks";"2014U43";17091;36.51
"Fersk oppalen laks";"2014U44";17873;37.06
"Fersk oppalen laks";"2014U45";16848;37.61
"Fersk oppalen laks";"2014U46";17877;39.95
"Fersk oppalen laks";"2014U47";17687;41.76
"Fersk oppalen laks";"2014U48";18451;43.38
"Fersk oppalen laks";"2014U49";20184;45.29
"Fersk oppalen laks";"2014U50";21210;46.84
"Fersk oppalen laks";"2014U51";18822;42.36
"Fersk oppalen laks";"2014U52";8305;47.20
"Fersk oppalen laks";"2015U01";9466;45.57
"Fersk oppalen laks";"2015U02";15622;45.77
"Fersk oppalen laks";"2015U03";15946;46.28
"Fersk oppalen laks";"2015U04";16444;44.31
"Fersk oppalen laks";"2015U05";14810;39.78
"Fersk oppalen laks";"2015U06";14693;43.43
"Fersk oppalen laks";"2015U07";14634;44.78
"Fersk oppalen laks";"2015U08";15864;41.76
"Fersk oppalen laks";"2015U09";16173;39.10
"Fersk oppalen laks";"2015U10";15920;41.14
"Fersk oppalen laks";"2015U11";17767;42.47
"Fersk oppalen laks";"2015U12";19019;41.79
"Fersk oppalen laks";"2015U13";20283;40.32
"Fersk oppalen laks";"2015U14";12240;42.30
"Fersk oppalen laks";"2015U15";15764;42.24
"Fersk oppalen laks";"2015U16";17988;39.35
"Fersk oppalen laks";"2015U17";16066;37.62
"Fersk oppalen laks";"2015U18";16206;39.25
"Fersk oppalen laks";"2015U19";17602;36.99
"Fersk oppalen laks";"2015U20";15948;39.96
"Fersk oppalen laks";"2015U21";18209;38.65
"Fersk oppalen laks";"2015U22";16364;37.92
"Fersk oppalen laks";"2015U23";16613;38.77
"Fersk oppalen laks";"2015U24";17313;41.51
"Fersk oppalen laks";"2015U25";16036;42.69
"Fersk oppalen laks";"2015U26";16383;40.94
"Fersk oppalen laks";"2015U27";15214;39.76
"Fersk oppalen laks";"2015U28";15205;42.26
"Fersk oppalen laks";"2015U29";14930;44.81
"Fersk oppalen laks";"2015U30";15267;46.23
"Fersk oppalen laks";"2015U31";13878;45.63
"Fersk oppalen laks";"2015U32";14226;46.68
"Fersk oppalen laks";"2015U33";15798;46.63
"Fersk oppalen laks";"2015U34";16971;41.74
"Fersk oppalen laks";"2015U35";17353;39.06
"Fersk oppalen laks";"2015U36";17227;43.03
"Fersk oppalen laks";"2015U37";17706;43.18
"Fersk oppalen laks";"2015U38";19057;41.54
"Fersk oppalen laks";"2015U39";18914;40.39
"Fersk oppalen laks";"2015U40";18598;40.07
"Fersk oppalen laks";"2015U41";18604;43.09
"Fersk oppalen laks";"2015U42";18992;42.43
"Fersk oppalen laks";"2015U43";20108;41.06
"Fersk oppalen laks";"2015U44";19201;41.86
"Fersk oppalen laks";"2015U45";18118;42.98
"Fersk oppalen laks";"2015U46";18705;42.52
"Fersk oppalen laks";"2015U47";18125;44.51
"Fersk oppalen laks";"2015U48";18889;48.79
"Fersk oppalen laks";"2015U49";19802;50.06
"Fersk oppalen laks";"2015U50";20949;49.05
"Fersk oppalen laks";"2015U51";20207;51.30
"Fersk oppalen laks";"2015U52";10494;53.26
"Fersk oppalen laks";"2015U53";9593;55.06
"Fersk oppalen laks";"2016U01";14173;57.27
"Fersk oppalen laks";"2016U02";14655;61.64
"Fersk oppalen laks";"2016U03";16115;54.56
"Fersk oppalen laks";"2016U04";15700;49.24
"Fersk oppalen laks";"2016U05";14839;51.27
"Fersk oppalen laks";"2016U06";14323;53.21
"Fersk oppalen laks";"2016U07";14682;56.95
"Fersk oppalen laks";"2016U08";14627;58.54
"Fersk oppalen laks";"2016U09";16087;58.48
"Fersk oppalen laks";"2016U10";16059;56.07
"Fersk oppalen laks";"2016U11";17936;57.88
"Fersk oppalen laks";"2016U12";10405;62.51
"Fersk oppalen laks";"2016U13";13750;61.98
"Fersk oppalen laks";"2016U14";15627;59.03
"Fersk oppalen laks";"2016U15";16367;55.56
"Fersk oppalen laks";"2016U16";15169;56.47
"Fersk oppalen laks";"2016U17";15425;55.65
"Fersk oppalen laks";"2016U18";14032;56.88
"Fersk oppalen laks";"2016U19";17283;62.19
"Fersk oppalen laks";"2016U20";12320;65.71
"Fersk oppalen laks";"2016U21";16324;57.41
"Fersk oppalen laks";"2016U22";15456;57.91
"Fersk oppalen laks";"2016U23";12500;64.70
"Fersk oppalen laks";"2016U24";14209;69.44
"Fersk oppalen laks";"2016U25";13845;67.40
"Fersk oppalen laks";"2016U26";12619;65.02
"Fersk oppalen laks";"2016U27";11925;70.96
"Fersk oppalen laks";"2016U28";13694;70.38
"Fersk oppalen laks";"2016U29";13629;65.12
"Fersk oppalen laks";"2016U30";14947;59.41
"Fersk oppalen laks";"2016U31";15413;57.52
"Fersk oppalen laks";"2016U32";16386;59.61
"Fersk oppalen laks";"2016U33";16680;59.23
"Fersk oppalen laks";"2016U34";16188;56.36
"Fersk oppalen laks";"2016U35";16810;56.47
"Fersk oppalen laks";"2016U36";18063;55.28
"Fersk oppalen laks";"2016U37";18559;52.78
"Fersk oppalen laks";"2016U38";19576;53.36
"Fersk oppalen laks";"2016U39";19426;55.39
"Fersk oppalen laks";"2016U40";18261;58.64
"Fersk oppalen laks";"2016U41";16770;59.67
"Fersk oppalen laks";"2016U42";17137;61.36
"Fersk oppalen laks";"2016U43";16888;61.50
"Fersk oppalen laks";"2016U44";18472;60.65
"Fersk oppalen laks";"2016U45";17125;59.63
"Fersk oppalen laks";"2016U46";18009;63.57
"Fersk oppalen laks";"2016U47";18734;62.46
"Fersk oppalen laks";"2016U48";19131;62.94
"Fersk oppalen laks";"2016U49";18476;66.44
"Fersk oppalen laks";"2016U50";19450;69.28
"Fersk oppalen laks";"2016U51";15026;73.09
"Fersk oppalen laks";"2016U52";10408;73.53
"Fersk oppalen laks";"2017U01";11950;75.25
"Fersk oppalen laks";"2017U02";13217;72.42
"Fersk oppalen laks";"2017U03";14219;72.50
"Fersk oppalen laks";"2017U04";14137;70.35
"Fersk oppalen laks";"2017U05";14426;66.01
"Fersk oppalen laks";"2017U06";14901;64.96
"Fersk oppalen laks";"2017U07";14775;64.08
"Fersk oppalen laks";"2017U08";15311;63.20
"Fersk oppalen laks";"2017U09";15774;59.55
"Fersk oppalen laks";"2017U10";15606;58.36
"Fersk oppalen laks";"2017U11";15294;61.98
"Fersk oppalen laks";"2017U12";16351;63.76
"Fersk oppalen laks";"2017U13";17821;62.70
"Fersk oppalen laks";"2017U14";18658;62.82
"Fersk oppalen laks";"2017U15";11516;65.13
"Fersk oppalen laks";"2017U16";14381;64.85
"Fersk oppalen laks";"2017U17";13791;62.17
"Fersk oppalen laks";"2017U18";12105;65.79
"Fersk oppalen laks";"2017U19";14305;70.18
"Fersk oppalen laks";"2017U20";13034;72.47
"Fersk oppalen laks";"2017U21";13773;72.17
"Fersk oppalen laks";"2017U22";14551;66.02
"Fersk oppalen laks";"2017U23";12787;69.91
"Fersk oppalen laks";"2017U24";13680;67.87
"Fersk oppalen laks";"2017U25";13724;68.96
"Fersk oppalen laks";"2017U26";14485;69.36
"Fersk oppalen laks";"2017U27";15795;65.71
"Fersk oppalen laks";"2017U28";14234;63.22
"Fersk oppalen laks";"2017U29";14428;65.12
"Fersk oppalen laks";"2017U30";15251;62.11
"Fersk oppalen laks";"2017U31";16311;60.55
"Fersk oppalen laks";"2017U32";17373;59.53
"Fersk oppalen laks";"2017U33";17023;55.63
"Fersk oppalen laks";"2017U34";16988;56.80
"Fersk oppalen laks";"2017U35";18043;54.89
"Fersk oppalen laks";"2017U36";18273;55.56
"Fersk oppalen laks";"2017U37";19307;53.85
"Fersk oppalen laks";"2017U38";18876;55.30
"Fersk oppalen laks";"2017U39";19317;57.21
"Fersk oppalen laks";"2017U40";18964;56.61
"Fersk oppalen laks";"2017U41";18213;54.52
"Fersk oppalen laks";"2017U42";18824;55.32
"Fersk oppalen laks";"2017U43";20343;53.17
"Fersk oppalen laks";"2017U44";19574;49.05
"Fersk oppalen laks";"2017U45";19123;51.25
"Fersk oppalen laks";"2017U46";19542;53.89
"Fersk oppalen laks";"2017U47";19795;49.02
"Fersk oppalen laks";"2017U48";20927;48.65
"Fersk oppalen laks";"2017U49";21601;53.36
"Fersk oppalen laks";"2017U50";24582;53.76
"Fersk oppalen laks";"2017U51";19386;54.73
"Fersk oppalen laks";"2017U52";9901;56.23
"Fersk oppalen laks";"2018U01";14259;58.52
"Fersk oppalen laks";"2018U02";17007;57.28
"Fersk oppalen laks";"2018U03";16479;55.46
"Fersk oppalen laks";"2018U04";17441;56.96
"Fersk oppalen laks";"2018U05";17266;56.86
"Fersk oppalen laks";"2018U06";16515;54.69
"Fersk oppalen laks";"2018U07";15052;56.52
"Fersk oppalen laks";"2018U08";15688;62.20
"Fersk oppalen laks";"2018U09";15230;65.16
"Fersk oppalen laks";"2018U10";15825;67.57
"Fersk oppalen laks";"2018U11";17862;67.94
"Fersk oppalen laks";"2018U12";19138;65.12
"Fersk oppalen laks";"2018U13";11423;71.75
"Fersk oppalen laks";"2018U14";13953;71.50
"Fersk oppalen laks";"2018U15";15751;68.21
"Fersk oppalen laks";"2018U16";15094;67.32
"Fersk oppalen laks";"2018U17";14510;66.79
"Fersk oppalen laks";"2018U18";13735;71.16
"Fersk oppalen laks";"2018U19";14991;75.40
"Fersk oppalen laks";"2018U20";14951;76.09
"Fersk oppalen laks";"2018U21";15363;73.71
"Fersk oppalen laks";"2018U22";16826;66.17
"Fersk oppalen laks";"2018U23";16732;61.34
"Fersk oppalen laks";"2018U24";16548;65.00
"Fersk oppalen laks";"2018U25";16297;61.70
"Fersk oppalen laks";"2018U26";16929;58.25
"Fersk oppalen laks";"2018U27";17914;58.55
"Fersk oppalen laks";"2018U28";17402;55.40
"Fersk oppalen laks";"2018U29";17286;55.14
"Fersk oppalen laks";"2018U30";17367;56.07
"Fersk oppalen laks";"2018U31";17466;57.44
"Fersk oppalen laks";"2018U32";18978;57.33
"Fersk oppalen laks";"2018U33";19004;53.62
"Fersk oppalen laks";"2018U34";18551;52.99
"Fersk oppalen laks";"2018U35";17501;57.43
"Fersk oppalen laks";"2018U36";17919;62.60
"Fersk oppalen laks";"2018U37";18489;62.10
"Fersk oppalen laks";"2018U38";17736;60.28
"Fersk oppalen laks";"2018U39";19344;59.15
"Fersk oppalen laks";"2018U40";19999;57.93
"Fersk oppalen laks";"2018U41";19237;58.49
"Fersk oppalen laks";"2018U42";20828;58.95
"Fersk oppalen laks";"2018U43";19103;57.77
"Fersk oppalen laks";"2018U44";19305;59.07
"Fersk oppalen laks";"2018U45";18638;57.37
"Fersk oppalen laks";"2018U46";19468;55.90
"Fersk oppalen laks";"2018U47";19701;53.84
"Fersk oppalen laks";"2018U48";19860;55.76
"Fersk oppalen laks";"2018U49";21773;59.50
"Fersk oppalen laks";"2018U50";23046;58.87
"Fersk oppalen laks";"2018U51";21874;58.20
"Fersk oppalen laks";"2018U52";9179;65.15
"Fersk oppalen laks";"2019U01";12098;66.66
"Fersk oppalen laks";"2019U02";16968;63.90
"Fersk oppalen laks";"2019U03";15367;62.88
"Fersk oppalen laks";"2019U04";17427;60.83
"Fersk oppalen laks";"2019U05";16333;57.41
"Fersk oppalen laks";"2019U06";17688;56.73
"Fersk oppalen laks";"2019U07";17634;56.82
"Fersk oppalen laks";"2019U08";17103;60.00
"Fersk oppalen laks";"2019U09";15192;65.65
"Fersk oppalen laks";"2019U10";14387;72.45
"Fersk oppalen laks";"2019U11";14472;71.55
"Fersk oppalen laks";"2019U12";16569;67.78
"Fersk oppalen laks";"2019U13";17460;65.13
"Fersk oppalen laks";"2019U14";17409;68.21
"Fersk oppalen laks";"2019U15";19916;67.33
"Fersk oppalen laks";"2019U16";12499;71.45
"Fersk oppalen laks";"2019U17";16037;69.53
"Fersk oppalen laks";"2019U18";16133;62.85
"Fersk oppalen laks";"2019U19";16315;61.94
"Fersk oppalen laks";"2019U20";16127;65.48
"Fersk oppalen laks";"2019U21";18992;61.33
"Fersk oppalen laks";"2019U22";17473;58.52
"Fersk oppalen laks";"2019U23";15457;61.85
"Fersk oppalen laks";"2019U24";15627;69.90
"Fersk oppalen laks";"2019U25";17756;64.09
"Fersk oppalen laks";"2019U26";17510;60.12
"Fersk oppalen laks";"2019U27";15805;61.06
"Fersk oppalen laks";"2019U28";16630;64.64
"Fersk oppalen laks";"2019U29";16754;60.18
"Fersk oppalen laks";"2019U30";18839;56.16
"Fersk oppalen laks";"2019U31";19422;54.13
"Fersk oppalen laks";"2019U32";19035;54.45
"Fersk oppalen laks";"2019U33";19510;55.05
"Fersk oppalen laks";"2019U34";20732;51.82
"Fersk oppalen laks";"2019U35";19995;55.10
"Fersk oppalen laks";"2019U36";20918;53.07
"Fersk oppalen laks";"2019U37";21666;50.80
"Fersk oppalen laks";"2019U38";22100;48.62
"Fersk oppalen laks";"2019U39";22761;47.73
"Fersk oppalen laks";"2019U40";21618;46.83
"Fersk oppalen laks";"2019U41";21887;50.70
"Fersk oppalen laks";"2019U42";21025;54.66
"Fersk oppalen laks";"2019U43";21587;53.87
"Fersk oppalen laks";"2019U44";21899;52.99
"Fersk oppalen laks";"2019U45";19393;54.48
"Fersk oppalen laks";"2019U46";20563;58.63
"Fersk oppalen laks";"2019U47";21543;61.56
"Fersk oppalen laks";"2019U48";21783;63.25
"Fersk oppalen laks";"2019U49";20399;63.72
"Fersk oppalen laks";"2019U50";22556;68.76
"Fersk oppalen laks";"2019U51";20352;75.05
"Fersk oppalen laks";"2019U52";8714;77.04
"Fersk oppalen laks";"2020U01";11249;78.20
"Fersk oppalen laks";"2020U02";16141;77.63
"Fersk oppalen laks";"2020U03";17512;76.38
"Fersk oppalen laks";"2020U04";16034;75.53
"Fersk oppalen laks";"2020U05";16259;70.25
"Fersk oppalen laks";"2020U06";15452;65.56
"Fersk oppalen laks";"2020U07";17375;64.49
"Fersk oppalen laks";"2020U08";15504;68.42
"Fersk oppalen laks";"2020U09";16153;72.80
"Fersk oppalen laks";"2020U10";14891;67.74
"Fersk oppalen laks";"2020U11";18009;66.17
"Fersk oppalen laks";"2020U12";15332;61.29
"Fersk oppalen laks";"2020U13";15676;58.95
"Fersk oppalen laks";"2020U14";16955;60.04
"Fersk oppalen laks";"2020U15";11992;59.34
"Fersk oppalen laks";"2020U16";15119;56.11
"Fersk oppalen laks";"2020U17";16029;56.46
"Fersk oppalen laks";"2020U18";15212;55.85
"Fersk oppalen laks";"2020U19";15927;54.66
"Fersk oppalen laks";"2020U20";16824;59.17
"Fersk oppalen laks";"2020U21";15417;65.46
"Fersk oppalen laks";"2020U22";16342;64.28
"Fersk oppalen laks";"2020U23";13442;69.23
"Fersk oppalen laks";"2020U24";17174;69.94
"Fersk oppalen laks";"2020U25";16081;61.92
"Fersk oppalen laks";"2020U26";15888;59.01
"Fersk oppalen laks";"2020U27";16147;59.81
"Fersk oppalen laks";"2020U28";18090;58.69
"Fersk oppalen laks";"2020U29";17391;52.68
"Fersk oppalen laks";"2020U30";16482;52.23
"Fersk oppalen laks";"2020U31";16616;49.72
"Fersk oppalen laks";"2020U32";18471;49.62
"Fersk oppalen laks";"2020U33";17910;51.70
"Fersk oppalen laks";"2020U34";18922;52.61
"Fersk oppalen laks";"2020U35";18760;49.25
"Fersk oppalen laks";"2020U36";21788;48.90
"Fersk oppalen laks";"2020U37";21188;49.46
"Fersk oppalen laks";"2020U38";20791;48.50
"Fersk oppalen laks";"2020U39";20748;50.77
"Fersk oppalen laks";"2020U40";23535;49.83
"Fersk oppalen laks";"2020U41";22748;48.58
"Fersk oppalen laks";"2020U42";21602;50.00
"Fersk oppalen laks";"2020U43";21738;48.04
"Fersk oppalen laks";"2020U44";21486;47.09
"Fersk oppalen laks";"2020U45";21382;46.90
"Fersk oppalen laks";"2020U46";20136;47.98
"Fersk oppalen laks";"2020U47";21750;48.58
"Fersk oppalen laks";"2020U48";21964;47.67
"Fersk oppalen laks";"2020U49";23507;46.35
"Fersk oppalen laks";"2020U50";24043;46.09
"Fersk oppalen laks";"2020U51";24827;46.24
"Fersk oppalen laks";"2020U52";14127;50.22
"Fersk oppalen laks";"2020U53";13597;54.01
"Fersk oppalen laks";"2021U01";18590;50.38
"Fersk oppalen laks";"2021U02";18720;46.55
"Fersk oppalen laks";"2021U03";19141;49.81
"Fersk oppalen laks";"2021U04";20045;47.94
"Fersk oppalen laks";"2021U05";19322;47.31
"Fersk oppalen laks";"2021U06";20115;51.21
"Fersk oppalen laks";"2021U07";19128;51.07
"Fersk oppalen laks";"2021U08";16754;55.51
"Fersk oppalen laks";"2021U09";17969;63.31
"Fersk oppalen laks";"2021U10";16959;62.79
"Fersk oppalen laks";"2021U11";17699;59.97
"Fersk oppalen laks";"2021U12";20495;62.06
"Fersk oppalen laks";"2021U13";14286;65.25
"Fersk oppalen laks";"2021U14";15144;65.17
"Fersk oppalen laks";"2021U15";17979;60.99
